sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,microscopic,18,1.7341799621426309e-12,0.0,-0.0004371191637017062,0.00028408538244777397,-0.008812762271793948,0.005692806430959951,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,19,3.852214895620205e-13,1.9082329364444266e-29,-0.0003248169621235679,0.0003703700952564975,-0.006650713007950072,0.007454887079229915,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,20,8.557104756131228e-14,0.0,2.3268106007314426e-05,0.0003536245155855142,0.00027803494240769737,0.007093694048231738,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,21,1.9008296211786147e-14,0.0,4.279343908934822e-06,0.00026696237799837136,0.00014379965030506914,0.00535843535118597,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,22,4.222401561884801e-15,0.0,0.00021237832061285201,0.00018401078349113947,0.004254443834070325,0.003686688247455905,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,23,9.379417676978584e-16,0.0,0.00011927074924549746,0.0002822778158652152,0.002231754006698274,0.005601187884457072,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,24,2.0834938285677557e-16,9.317543634982552e-33,-0.0005875476792220042,0.0002691201816061698,-0.011817003714371027,0.0054142422398417295,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,25,4.6281620919117496e-17,2.329385908745638e-33,-0.0005049344369164232,0.00017695814501981385,-0.010096566411844622,0.003562220173518835,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,26,1.0280752481870071e-17,0.0,-0.0006244834115069461,0.0002408653765238715,-0.012492700811905458,0.004836206508089172,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,27,2.28371153590731e-18,0.0,-0.00027234647825058244,0.00029602792855951783,-0.005563908766911698,0.005927854898302906,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,28,5.07291503071714e-19,0.0,-8.81864990239192e-05,0.00025895522351454677,-0.0018154650320248897,0.005166037529846864,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,29,1.1268702944416174e-19,0.0,0.00017156657310100361,0.00032539858506302165,0.003465845123451098,0.006526318379519483,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,30,2.503169583574565e-20,1.137395463254706e-36,-0.00029783782367416405,0.00016224565991047494,-0.005933391502981222,0.0032235281967904817,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,31,5.5604074355671045e-21,2.843488658136765e-37,0.00015207729525788487,0.00021536569686172135,0.003042065727353677,0.0042975104329548855,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,32,1.2351592577822218e-21,0.0,0.00011627074308323905,0.00021816955549718093,0.0023439074782486843,0.004343417457754727,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,33,2.743716912409193e-22,1.7771804113354781e-38,0.0001928952137773919,0.0002946405109567057,0.003981710736042293,0.005955761856703941,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,34,6.094746445051168e-23,0.0,-5.333960237697135e-05,0.0001760648228521548,-0.0010460184803363331,0.003501690308668039,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,35,1.3538544760744606e-23,0.0,-0.00022822831162782651,0.0001834992722365849,-0.004542498727221798,0.0036734577504304792,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,36,3.007380141097017e-24,1.3884221963558423e-40,0.0002968489701227941,0.00021485475720160957,0.00583128858153723,0.004284009347317627,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,37,6.680433881851923e-25,3.4710554908896057e-41,-8.531815184900979e-05,0.0002221429523324306,-0.0017529460931291273,0.004460238892642618,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,38,1.4839559602038182e-25,8.677638727224014e-42,-7.515049859143827e-05,0.00024199055378863797,-0.0015381637620034776,0.004850893196513671,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,39,3.296380640495121e-26,2.1694096818060036e-42,0.00035953295493125,0.00022202582581154262,0.007111256828358581,0.004426277510278439,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,40,7.322404180740369e-27,0.0,0.0003277278256557857,0.0002753669442604747,0.00648811320003235,0.005492376955292587,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,0,1.0,0.0,0.05007180616218755,0.00019361298499804967,1.0,0.0,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,1,0.33439391990309136,2.0981243021257878e-17,0.016872112385470865,0.0001886010847703966,0.33692553295660843,0.0030585520273880428,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,2,0.11181929366815503,5.2453107553144695e-18,0.005809754117261109,0.00014013788760966256,0.11607644880211392,0.0030545870095394145,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,3,0.03739169193048928,0.0,0.0019919401485540213,9.867050655430501e-05,0.03977531136451756,0.0019451343858103438,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,4,0.0125035544364451,6.556638444143087e-19,0.0006631705576300545,5.749628797223896e-05,0.01324122049855604,0.0011399712453007455,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,5,0.0041811125807245655,3.2783192220715434e-19,0.00012641831529774407,4.764912776782294e-05,0.0025325784158268306,0.0009480399358963199,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,6,0.0013981386254246172,8.195798055178859e-20,-5.263288214121431e-05,1.9620546547486053e-05,-0.0010437522679722947,0.00038688780100633454,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,7,0.00046752905552365767,0.0,-1.7797874883509251e-06,2.1808392200208283e-05,-2.838552421522298e-05,0.0004350721160517698,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,-0.05,gaussian_map,8,0.00015633887354514592,0.0,-5.689613007620506e-06,1.998444560306313e-05,-0.00010905866095909563,0.00039929318710522677,12,0.72,-0.05,0.0,-0.05,-0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
